,name,cat
2762,delmaine beans pinto premium in brine,Canned  prepared foods
2763,watties very special canned soup country vegetable,Canned  prepared foods
2764,countdown apricots halves in juice,Canned  prepared foods
2765,macro organic spaghetti in tomato sauce,Canned  prepared foods
2766,benedicts chilli beans hot,Canned  prepared foods
2767,countdown pineapple sliced in syrup,Canned  prepared foods
2768,watties very special canned soup creamy chicken,Canned  prepared foods
2769,maggi soup for a cup instant soup spanish style tomato 78g,Canned  prepared foods
2770,sealord tuna pockets lemon sesame  ginger,Canned  prepared foods
2771,continental cup a soup instant soup spring vegetable 60g,Canned  prepared foods
2772,golden circle pineapple pieces in natural juice,Canned  prepared foods
2773,macro tofu honey soy,Canned  prepared foods
2774,wattie's canned soup tomato extra rich  thick cond,Canned  prepared foods
2775,continental cup a soup instant soup hearty beef 55g,Canned  prepared foods
2776,natures charm jackfruit young green in brine,Canned  prepared foods
2777,benedicts tomatoes whole peeld italian,Canned  prepared foods
2778,countdown chicken mayonnaise,Canned  prepared foods
2779,aunt bettys rice 2 go creamed rice chocolate creamy rice 100g,Canned  prepared foods
2780,watties spaghetti 50% less added sugar,Canned  prepared foods
2781,sealord sensations tuna in mayonnaise,Canned  prepared foods
2782,macro tofu satay,Canned  prepared foods
2783,"john west tuna chunks tuna chilli, lime  ginger in oil",Canned  prepared foods
2784,aunt bettys steamed pudding sticky date 2 x 95g,Canned  prepared foods
2785,homebrand fruit salad in syrup,Canned  prepared foods
2786,ceres organics beans red kidney,Canned  prepared foods
2787,john west tuna in spring water,Canned  prepared foods
2788,countdown berries boysenberries,Canned  prepared foods
2789,watties very special canned soup creamy mushroom,Canned  prepared foods
2790,watties big n hearty canned soup irish stew soup with lamb,Canned  prepared foods
2791,watties very special canned soup potato  leek,Canned  prepared foods
2792,countdown tuna lemon  pepper,Canned  prepared foods
2793,pacific corned beef in natural juice,Canned  prepared foods
2794,golden circle beetroot sliced,Canned  prepared foods
2795,macro vegetarian burgers chickpea,Canned  prepared foods
2796,delish pie filling apples,Canned  prepared foods
2797,continental cup a soup instant soup hearty italian minestrone 75g,Canned  prepared foods
2798,ceres organics tomatoes chopped with basil,Canned  prepared foods
2799,maggi packet soup creamy seafood,Canned  prepared foods
2800,cinderella mandarins segments in syrup,Canned  prepared foods
2801,wattie's beetroot sliced with no added salt,Canned  prepared foods
2802,mckenzies split peas yellow,Canned  prepared foods
2803,king soup mix minestrone,Canned  prepared foods
2804,edgell beans black,Canned  prepared foods
2805,countdown fruit snack fruit salad in juice,Canned  prepared foods
2806,naked kitchen chilled meal california wellness bowl,Canned  prepared foods
2807,wattie's tomatoes pesto style,Canned  prepared foods
2808,mackenzie soup mix ,Canned  prepared foods
2809,countdown creamed rice vanilla,Canned  prepared foods
2810,dole fruit salad mix in natural juice,Canned  prepared foods
2811,wattie's tomatoes whole peeled in juice,Canned  prepared foods
2812,bluebird potato chips originals combo 324g,"Chocolate, sweets  snacks"
2813,bluebird originals potato chips salt  vinegar,"Chocolate, sweets  snacks"
2814,bluebird originals potato chips ready salted,"Chocolate, sweets  snacks"
2815,mexicano corn chips cheese,"Chocolate, sweets  snacks"
2816,bluebird originals potato chips chicken,"Chocolate, sweets  snacks"
2817,whittakers chocolate block 33% cocoa creamy milk,"Chocolate, sweets  snacks"
2818,countdown pretzels twists,"Chocolate, sweets  snacks"
2819,flemings chewy muesli bars chocolate chip 180g,"Chocolate, sweets  snacks"
2820,bluebird delisio potato chips sweet chilli relish,"Chocolate, sweets  snacks"
2821,countdown potato chips ready salted crinkle cut,"Chocolate, sweets  snacks"
2822,bluebird delisio potato chips caramelised onion,"Chocolate, sweets  snacks"
2823,bluebird corn snacks twisties rashuns burger rings,"Chocolate, sweets  snacks"
2824,countdown potato chips salt vinegar crinkle cut,"Chocolate, sweets  snacks"
2825,cadbury chocolate block caramilk,"Chocolate, sweets  snacks"
2826,bluebird originals potato chips sour cream  chives,"Chocolate, sweets  snacks"
2827,countdown potato chips chicken crinkle cut,"Chocolate, sweets  snacks"
2828,countdown potato chips sour cream chives crinkle cut,"Chocolate, sweets  snacks"
2829,doritos corn chips supreme cheese party bag,"Chocolate, sweets  snacks"
2830,doritos corn chips nacho cheese party bag,"Chocolate, sweets  snacks"
2831,mexicano corn chips natural,"Chocolate, sweets  snacks"
2832,bluebird delisio potato chips sea salt,"Chocolate, sweets  snacks"
2833,copper kettle potato chips bbq,"Chocolate, sweets  snacks"
2834,select muesli bars choc honeybcomb 100g,"Chocolate, sweets  snacks"
2835,mars chocolate bar ,"Chocolate, sweets  snacks"
2836,countdown potato chips original,"Chocolate, sweets  snacks"
2837,countdown pistachios salted,"Chocolate, sweets  snacks"
2838,tasti protein bar muesli bars nutty choc 40g each,"Chocolate, sweets  snacks"
2839,mother earth mixed nuts deluxe roasted lightly salted,"Chocolate, sweets  snacks"
2840,mother earth oaty slices muesli bars very berry 240g,"Chocolate, sweets  snacks"
2841,haribo jelly sweets sweet  sour bears,"Chocolate, sweets  snacks"
2842,nice  natural nut bar muesli bars choc nut almond 180g,"Chocolate, sweets  snacks"
2843,tasti made simple muesli bars lamington 150g,"Chocolate, sweets  snacks"
2844,pringles potato chips original,"Chocolate, sweets  snacks"
2845,bluebird delisio potato chips sweet chilli relish 144g,"Chocolate, sweets  snacks"
2846,pascall mixtures fruit bursts,"Chocolate, sweets  snacks"
2847,countdown salsa medium,"Chocolate, sweets  snacks"
2848,tasti made simple muesli bars forest berry 150g,"Chocolate, sweets  snacks"
2849,select fruit bars cereal mixed berry,"Chocolate, sweets  snacks"
2850,bluebird corn snacks cheese combo 180g,"Chocolate, sweets  snacks"
2851,countdown almonds roasted unsalted,"Chocolate, sweets  snacks"
2852,heartland potato chips chicken,"Chocolate, sweets  snacks"
2853,starburst jelly sweets party mix,"Chocolate, sweets  snacks"
2854,healtheries kidscare snacks oven baked chicken twirls 144g,"Chocolate, sweets  snacks"
2855,goodness me fruit snack nuggets  sticks mix,"Chocolate, sweets  snacks"
2856,act i i microwave popcorn butter,"Chocolate, sweets  snacks"
2857,countdown peanuts honey roasted,"Chocolate, sweets  snacks"
2858,macro organic tahini hulled,"Chocolate, sweets  snacks"
2859,mother earth fruit sticks fruit filled bar apple 152g,"Chocolate, sweets  snacks"
2860,eta munchos corn snacks spicy tomato 140g,"Chocolate, sweets  snacks"
2861,countdown potato chips bbq crinkle cut,"Chocolate, sweets  snacks"
2862,whittakers chocolate block hokey pokey,"Chocolate, sweets  snacks"
2863,tasti mega nuts nut bar nutty crunch 40g each,"Chocolate, sweets  snacks"
2864,nestle share pack chocolates kit kat 185g,"Chocolate, sweets  snacks"
2865,whittakers artisan collection chocolate block black doris plum  almond,"Chocolate, sweets  snacks"
2866,weight watchers muesli bars coconut delight 105g,"Chocolate, sweets  snacks"
2867,tasti muffin bakes muffin bar choc fudge,"Chocolate, sweets  snacks"
2868,mother earth snack mix chickpea oregano  thyme,"Chocolate, sweets  snacks"
2869,mms chocolate milk chocolate,"Chocolate, sweets  snacks"
2870,whittakers chocolate block original peanut 33% cocoa,"Chocolate, sweets  snacks"
2871,whittakers share pack individually wrapped creamy milk 180g,"Chocolate, sweets  snacks"
2872,tasti snak log snack log carob apricot 240g,"Chocolate, sweets  snacks"
2873,countdown jelly sweets jelly beans,"Chocolate, sweets  snacks"
2874,shultz pretzels mini low fat,"Chocolate, sweets  snacks"
2875,heartland potato chips southern sea salt,"Chocolate, sweets  snacks"
2876,mother earth snack mix deluxe natural,"Chocolate, sweets  snacks"
2877,cadbury treat size chocolates moro sharepack 180g,"Chocolate, sweets  snacks"
2878,healtheries kidscare rice snacks rice wheels burger 180g,"Chocolate, sweets  snacks"
2879,countdown sweets snakes,"Chocolate, sweets  snacks"
2880,cadbury old gold chocolate block 70% cocoa,"Chocolate, sweets  snacks"
2881,nice  natural oat bars muesli bars blueberry yoghurt vanilla 150g,"Chocolate, sweets  snacks"
2882,countdown cassava vegetable crisps bbq,"Chocolate, sweets  snacks"
2883,mms chocolate milk choc,"Chocolate, sweets  snacks"
2884,pop n good popcorn sweet  salty kettle corn,"Chocolate, sweets  snacks"
2885,cadbury marvellous creations chocolate block jelly pop candy beanies,"Chocolate, sweets  snacks"
2886,shultz pretzels minis multipack 280g,"Chocolate, sweets  snacks"
2887,cadbury treat size chocolates flake 168g,"Chocolate, sweets  snacks"
2888,whittakers artisan collection chocolate block ginger  mandarin dark,"Chocolate, sweets  snacks"
2889,macy  tailor pretzels salted,"Chocolate, sweets  snacks"
2890,tasti raw snacking snack mix superfood boost,"Chocolate, sweets  snacks"
2891,mother earth almonds batch roasted,"Chocolate, sweets  snacks"
2892,countdown potato chips bbq,"Chocolate, sweets  snacks"
2893,nestle kit kat chocolate bar mint cookie fudge,"Chocolate, sweets  snacks"
2894,countdown cassava vegetable crisps original 144g,"Chocolate, sweets  snacks"
2895,eta uppercuts deli cut potato chips sea salt,"Chocolate, sweets  snacks"
2896,nice  natural fruit snack chicks 144g,"Chocolate, sweets  snacks"
2897,fibre one muesli bars milk chocolate  popcorn 105g,"Chocolate, sweets  snacks"
2898,bluebird potato chips  corn snacks mixed combo 324g,"Chocolate, sweets  snacks"
2899,tom  luke snack balls salted caramel,"Chocolate, sweets  snacks"
2900,eta munchos corn snacks cheese  onion 140g,"Chocolate, sweets  snacks"
2901,nz kettle korn popcorn slightly salted slightly sweet,"Chocolate, sweets  snacks"
2902,act i i microwave popcorn butter lovers,"Chocolate, sweets  snacks"
2903,tasti nut butter bar peanut butter  salted caramel,"Chocolate, sweets  snacks"
2904,starburst jelly sweets rattle snakes,"Chocolate, sweets  snacks"
2905,macro organic corn chips cheese,"Chocolate, sweets  snacks"
2906,pop n good popcorn mixed flavours 144g,"Chocolate, sweets  snacks"
2907,whittakers chocolate block 62% cocoa dark cacao,"Chocolate, sweets  snacks"
2908,cadbury chocolate block dairy milk dream,"Chocolate, sweets  snacks"
2909,nestle kit kat chocolate bar chunky,"Chocolate, sweets  snacks"
2910,nice  natural protein nut bar muesli bars 3 super seedssalted caramel,"Chocolate, sweets  snacks"
2911,twix chocolate bar ,"Chocolate, sweets  snacks"
2912,kelloggs lcms rice bubble bars unicorn 132g,"Chocolate, sweets  snacks"
2913,nature valley crunchy muesli bars oats  dark chocolate 252g,"Chocolate, sweets  snacks"
2914,black knight licorice traditional medley,"Chocolate, sweets  snacks"
2915,mexicano corn chips sweet chilli,"Chocolate, sweets  snacks"
2916,eclipse mints peppermint,"Chocolate, sweets  snacks"
2917,cadbury chocolate block dairy milk fruit  nut,"Chocolate, sweets  snacks"
2918,nature valley crunchy muesli bars canadian maple syrup 252g,"Chocolate, sweets  snacks"
2919,tasti protein bar dark choc almond,"Chocolate, sweets  snacks"
2920,fibre one fudge brownies chocolate 120g,"Chocolate, sweets  snacks"
2921,the natural confectionery co jelly sweets sour squirms,"Chocolate, sweets  snacks"
2922,eta thick cut potato chips sea salt,"Chocolate, sweets  snacks"
2923,cadbury chocolate block dairy milk coconut rough,"Chocolate, sweets  snacks"
2924,eat real vege snacks veggie  kale straws,"Chocolate, sweets  snacks"
2925,heartland potato chips sour cream  chives,"Chocolate, sweets  snacks"
2926,mother earth oaty slices muesli slice black forest 240g,"Chocolate, sweets  snacks"
2927,eta corn snacks cheese balls,"Chocolate, sweets  snacks"
2928,haribo jelly sweets gold bears,"Chocolate, sweets  snacks"
2929,jack links beef jerky original beef sticks,"Chocolate, sweets  snacks"
2930,doritos corn chips salsa,"Chocolate, sweets  snacks"
2931,countdown potato chips salt  vinegar,"Chocolate, sweets  snacks"
2932,tom  luke snack balls peanut butter  cacao,"Chocolate, sweets  snacks"
2933,goodness me fruit sticks strawberry  blueberry 136g,"Chocolate, sweets  snacks"
2934,cadbury chocolate block dairy milk vanilla oreo,"Chocolate, sweets  snacks"
2935,sigol seaweed nori snack olive oil 4g,"Chocolate, sweets  snacks"
2936,nestle kit kat chocolate bar gooey caramel,"Chocolate, sweets  snacks"
2937,cadbury chocolate block dairy milk roast almond,"Chocolate, sweets  snacks"
2938,whittakers share pack individually wrapped peanut slab 180g,"Chocolate, sweets  snacks"
2939,bounty chocolate bar ,"Chocolate, sweets  snacks"
2940,tasti snak log snack log carob fruit  nut 240g,"Chocolate, sweets  snacks"
2941,nice  natural oat bars muesli bars choc chip/real dark choc 150g,"Chocolate, sweets  snacks"
2942,nestle rolo chocolate block ,"Chocolate, sweets  snacks"
2943,select muesli bars choc peanut 100g,"Chocolate, sweets  snacks"
2944,tostitos corn chips splash of lime,"Chocolate, sweets  snacks"
2945,homebrand cashews salted,"Chocolate, sweets  snacks"
2946,nestle kit kat chocolate block gold,"Chocolate, sweets  snacks"
2947,countdown cashews roasted salted,"Chocolate, sweets  snacks"
2948,rjs licorice natural,"Chocolate, sweets  snacks"
2949,mother earth pistachios roasted  salted,"Chocolate, sweets  snacks"
2950,countdown fruit filled bar custard  blueberry 225g,"Chocolate, sweets  snacks"
2951,act i i microwave popcorn butter 255g,"Chocolate, sweets  snacks"
2952,mentos mini sweets rainbow,"Chocolate, sweets  snacks"
2953,countdown sweets fruit puffs,"Chocolate, sweets  snacks"
2954,cadbury chocolate block dairy milk top deck,"Chocolate, sweets  snacks"
2955,mother earth oaty slices muesli slice anzac 240g,"Chocolate, sweets  snacks"
2956,ma baker marshmallows jumbo pink  white,"Chocolate, sweets  snacks"
2957,countdown cashews honey roasted,"Chocolate, sweets  snacks"
2958,frooze balls snack balls dark forest,"Chocolate, sweets  snacks"
2959,cadbury chocolate perky nana lumps,"Chocolate, sweets  snacks"
2960,tasti raw snacking snack mix trail mix,"Chocolate, sweets  snacks"
2961,cadbury chocolate block dairy milk turkish delight,"Chocolate, sweets  snacks"
2962,countdown snack mix choc berry mix,"Chocolate, sweets  snacks"
2963,whittakers artisan collection chocolate block sea salt  caramel brittle,"Chocolate, sweets  snacks"
2964,tasti nut butter bar peanut butter 175g,"Chocolate, sweets  snacks"
2965,ceres organics seaweed snack nori,"Chocolate, sweets  snacks"
2966,skittles sweets sours,"Chocolate, sweets  snacks"
2967,nestle chocolate bar pixie caramel,"Chocolate, sweets  snacks"
2968,heartland potato chips bbq,"Chocolate, sweets  snacks"
2969,cadbury treat size individually wrapped freddo milky top 180g,"Chocolate, sweets  snacks"
2970,nestle milky bar chocolate bar chunky bar,"Chocolate, sweets  snacks"
2971,serious organic popcorn sea salt,"Chocolate, sweets  snacks"
2972,pascall mixtures lolly scramble,"Chocolate, sweets  snacks"
2973,lindt excellence chocolate block cocoa 90%,"Chocolate, sweets  snacks"
2974,eclipse mints spearmint,"Chocolate, sweets  snacks"
2975,tasti smooshed wholefood snack balls berry cashew  cacao 138g,"Chocolate, sweets  snacks"
2976,sunny hills kumara chips original,"Chocolate, sweets  snacks"
2977,nice  natural protein muesli bars wholeseed cranberry raspberry,"Chocolate, sweets  snacks"
2978,turkish kitchen hummus traditional,"Chocolate, sweets  snacks"
2979,select muesli bars yoghurt apricot nut 100g,"Chocolate, sweets  snacks"
2980,cadbury treat size chocolates dairy milk 180g,"Chocolate, sweets  snacks"
2981,oki doki muesli bites disco bites,"Chocolate, sweets  snacks"
2982,countdown sweets pineapple pieces,"Chocolate, sweets  snacks"
2983,kettle chip company potato chips honey soy chicken 140g,"Chocolate, sweets  snacks"
2984,the natural confectionery co jelly sweets soft jellies fruit salad,"Chocolate, sweets  snacks"
2985,nestle kit kat chocolate bar chunky gooey caramel,"Chocolate, sweets  snacks"
2986,the natural confectionery co jelly sweets sour patch kids,"Chocolate, sweets  snacks"
2987,the natural confectionery co sweets snakes reduced sugar,"Chocolate, sweets  snacks"
2988,countdown sweets aeroplanes,"Chocolate, sweets  snacks"
2989,bluebird delisio potato chips sea salt organic 144g,"Chocolate, sweets  snacks"
2990,majans snack mix bhuja original,"Chocolate, sweets  snacks"
2991,tasti muffin bakes muffin bar choc caramel,"Chocolate, sweets  snacks"
2992,sniks pork crackle crunch,"Chocolate, sweets  snacks"
2993,tasti smooshed wholefood snack balls berry cashew cacao,"Chocolate, sweets  snacks"
2994,fibre one snack bar salted caramel,"Chocolate, sweets  snacks"
2995,kiwigarden yoghurt drops  strawberry slices,"Chocolate, sweets  snacks"
2996,act i i microwave popcorn salted,"Chocolate, sweets  snacks"
2997,select rice snacks ,"Chocolate, sweets  snacks"
2998,sunbites grainwaves corn snacks sour cream  chives,"Chocolate, sweets  snacks"
2999,countdown popcorn microwave sweet  salty,"Chocolate, sweets  snacks"
3000,tasti raw snacking snack mix berry  nut,"Chocolate, sweets  snacks"
3001,mms chocolate peanut,"Chocolate, sweets  snacks"
3002,kelloggs lcms snack bar coco pops 132g,"Chocolate, sweets  snacks"
3003,eta peanuts salt  vinegar,"Chocolate, sweets  snacks"
3004,mms sweets milk chocolate,"Chocolate, sweets  snacks"
3005,mediterranean dip chunky sundried tomato,"Chocolate, sweets  snacks"
3006,kettle chip company potato chips sweet chilli  sour cream,"Chocolate, sweets  snacks"
3007,starburst jelly sweets babies,"Chocolate, sweets  snacks"
3008,bluebird poppa jacks corn snacks ,"Chocolate, sweets  snacks"
3009,obela dip classic guacamole,"Chocolate, sweets  snacks"
3010,the natural confectionery co jelly sweets fruit gems 300g,"Chocolate, sweets  snacks"
3011,the natural confectionery co jelly sweets dinosaurs,"Chocolate, sweets  snacks"
3012,double d jelly sweets sugar free gummy bears,"Chocolate, sweets  snacks"
3013,rjs licorice twist rasberry chocolate,"Chocolate, sweets  snacks"
3014,snickers share pack individually wrapped 216g,"Chocolate, sweets  snacks"
3015,countdown popcorn sweet  salty 200g,"Chocolate, sweets  snacks"
3016,pods chocolate snickers,"Chocolate, sweets  snacks"
3017,nature valley protein muesli bars salted caramel nut,"Chocolate, sweets  snacks"
3018,cadbury chocolate block energy,"Chocolate, sweets  snacks"
3019,pascall sweets milkshake,"Chocolate, sweets  snacks"
3020,proper crisps potato chips rosemary  thyme,"Chocolate, sweets  snacks"
3021,cadbury favourites chocolates ,"Chocolate, sweets  snacks"
3022,starburst jelly sweets fruitfuls,"Chocolate, sweets  snacks"
3023,maltesers chocolate ,"Chocolate, sweets  snacks"
3024,whittakers chocolate block nicaraguan dark choc 76% cocoa,"Chocolate, sweets  snacks"
3025,goodness me fruit nuggets raspberry  blueberry duo 136g,"Chocolate, sweets  snacks"
3026,doritos corn chips bbq,"Chocolate, sweets  snacks"
3027,"mother earth oaty slices muesli slice sultana, oat  honey 240g","Chocolate, sweets  snacks"
3028,haribo jelly sweets star mix,"Chocolate, sweets  snacks"
3029,tasti protein bar dark chocolate cranberry,"Chocolate, sweets  snacks"
3030,starburst jelly sweets mixed berries,"Chocolate, sweets  snacks"
3031,double d marshmallows sugar free,"Chocolate, sweets  snacks"
3032,fibre one snack bar lemon drizzle 120g,"Chocolate, sweets  snacks"
3033,whittakers chocolate bar milk sante 75g,"Chocolate, sweets  snacks"
3034,whittakers share pack individually wrapped almond gold 180g,"Chocolate, sweets  snacks"
3035,chupa chups lollipops faces 210g,"Chocolate, sweets  snacks"
3036,mother earth nuts about muesli bars dark choc,"Chocolate, sweets  snacks"
3037,whittakers chocolate bar peanut slab,"Chocolate, sweets  snacks"
3038,proper crisps kumara chips seasalt,"Chocolate, sweets  snacks"
3039,lindt excellence chocolate block sea salt caramel dark,"Chocolate, sweets  snacks"
3040,countdown sweets sour mix,"Chocolate, sweets  snacks"
3041,whittakers share pack individually wrapped peppermint 180g,"Chocolate, sweets  snacks"
3042,nice  natural protein muesli bars wholeseed coconut goji 150g,"Chocolate, sweets  snacks"
3043,whittakers artisan collection chocolate block nelson pear  manuka,"Chocolate, sweets  snacks"
3044,pop n good popcorn fruitti,"Chocolate, sweets  snacks"
3045,select muesli bars choc apricot nut 100g,"Chocolate, sweets  snacks"
3046,snackachangi potato chips salt  vinegar,"Chocolate, sweets  snacks"
3047,nature valley crunchy muesli bars peanut butter 252g,"Chocolate, sweets  snacks"
3048,cadbury treat size chocolates picnic 180g,"Chocolate, sweets  snacks"
3049,tasti snak log snack log golden syrup 240g,"Chocolate, sweets  snacks"
3050,tom  luke snack balls zesty lemon  coconut,"Chocolate, sweets  snacks"
3051,eta peanuts snack pack,"Chocolate, sweets  snacks"
3052,lisas hummus chargrilled capsicum,"Chocolate, sweets  snacks"
3053,mother earth walnuts natural,"Chocolate, sweets  snacks"
3054,eta uppercuts deli cut potato chips american burger,"Chocolate, sweets  snacks"
3055,lindt chocolate block excellence mint intense dark,"Chocolate, sweets  snacks"
3056,nice  natural nut bar nut bar almond 192g,"Chocolate, sweets  snacks"
3057,heartland potato chips green onion,"Chocolate, sweets  snacks"
3058,pringles potato chips vinegar,"Chocolate, sweets  snacks"
3059,countdown nut  fruit mix nuts  raisins,"Chocolate, sweets  snacks"
3060,act i i microwave popcorn light butter 241.8g,"Chocolate, sweets  snacks"
3061,countdown chocolate block white choc,"Chocolate, sweets  snacks"
3062,proper crisps potato chips smoked paprika,"Chocolate, sweets  snacks"
3063,flemings chewy muesli bars berry smoothie 165g,"Chocolate, sweets  snacks"
3064,whittakers chocolate block 72% cocoa dark ghana,"Chocolate, sweets  snacks"
3065,mediterranean dip chunky basil pesto,"Chocolate, sweets  snacks"
3066,copper kettle potato chips salt  vinegar,"Chocolate, sweets  snacks"
3067,bluebird thick cut potato chips ready salted,"Chocolate, sweets  snacks"
3068,mother earth oaty slices muesli bars afghan 240g,"Chocolate, sweets  snacks"
3069,just hummus with garlic  lemon,"Chocolate, sweets  snacks"
3070,mother earth baked oaty muesli bars chocolate chips 240g,"Chocolate, sweets  snacks"
3071,countdown cassava vegetable crisps mixed 144g,"Chocolate, sweets  snacks"
3072,cadbury chocolate block dairy milk black forest,"Chocolate, sweets  snacks"
3073,bluebird thick cut potato chips sour cream  chives,"Chocolate, sweets  snacks"
3074,whittakers chocolate block creamy caramel,"Chocolate, sweets  snacks"
3075,bluebird thin cut potato chips ready salted,"Chocolate, sweets  snacks"
3076,flemings chewy muesli bars very berry 180g,"Chocolate, sweets  snacks"
3077,bluebird thin cut potato chips sour cream  chives,"Chocolate, sweets  snacks"
3078,lisas hummus plain,"Chocolate, sweets  snacks"
3079,select pretzels sticks,"Chocolate, sweets  snacks"
3080,pascall family pack marshmallows vanilla  raspberry,"Chocolate, sweets  snacks"
3081,select muesli bars yoghurt apricot 180g,"Chocolate, sweets  snacks"
3082,act i i microwave popcorn butter lovers 255g,"Chocolate, sweets  snacks"
3083,whittakers chocolate block berry  biscuit,"Chocolate, sweets  snacks"
3084,pringles potato chips sour cream  onion 95g,"Chocolate, sweets  snacks"
3085,bluebird thin cut potato chips chicken,"Chocolate, sweets  snacks"
3086,flemings chewy muesli bars apricot chocolate chip 180g,"Chocolate, sweets  snacks"
3087,well naturally chocolate block creamy milk no added sugar,"Chocolate, sweets  snacks"
3088,pringles potato chips sour cream  onion,"Chocolate, sweets  snacks"
3089,the natural confectionery co sweets rainbow frogs reduced sugar,"Chocolate, sweets  snacks"
3090,cadbury twirl chocolates 168g,"Chocolate, sweets  snacks"
3091,fabulicious raspberry licorice twister,"Chocolate, sweets  snacks"
3092,old el paso dip medium chunky,"Chocolate, sweets  snacks"
3093,whittakers artisan collection chocolate block b/milk caramelised white choc,"Chocolate, sweets  snacks"
3094,nestle share pack chocolates milky bar 158g,"Chocolate, sweets  snacks"
3095,annies fruit flats fruit snack berry fruits 80g,"Chocolate, sweets  snacks"
3096,heartland potato chips roast chicken,"Chocolate, sweets  snacks"
3097,rjs licorice allsorts,"Chocolate, sweets  snacks"
3098,sniks pork crackle ,"Chocolate, sweets  snacks"
3099,fabulicous sweets apple sherbert fizz,"Chocolate, sweets  snacks"
3100,nestle share pack chocolates smarties 140g,"Chocolate, sweets  snacks"
3101,double d sweets sugar free jelly rounds,"Chocolate, sweets  snacks"
3102,whittakers chocolate block rum  raisin,"Chocolate, sweets  snacks"
3103,mother earth batch roasted cashews lightly salted,"Chocolate, sweets  snacks"
3104,tom  luke snack balls cacao  mint  almond,"Chocolate, sweets  snacks"
3105,macro cashews dry roasted,"Chocolate, sweets  snacks"
3106,tasti protein bar muesli bars dark choc  mocha,"Chocolate, sweets  snacks"
3107,cadbury chocolate block packed with crunchie,"Chocolate, sweets  snacks"
3108,eta uppercuts corn tapas sweet chilli  sour cream,"Chocolate, sweets  snacks"
3109,tasti nut bar dark choc cranberry,"Chocolate, sweets  snacks"
3110,kiwigarden yoghurt drops strawberry,"Chocolate, sweets  snacks"
3111,mayceys jelly sweets sour feijoas,"Chocolate, sweets  snacks"
3112,macro organic corn chips bbq,"Chocolate, sweets  snacks"
3113,serious organic popcorn sweet  salty,"Chocolate, sweets  snacks"
3114,nice  natural nut bar muesli bars chocolate peanut,"Chocolate, sweets  snacks"
3115,cookie time bumper bar muesli bars raspberry  white choc 225g,"Chocolate, sweets  snacks"
3116,nice  natural oat bars muesli bars peanut butter/milk choc 150g,"Chocolate, sweets  snacks"
3117,rj’s oddfellows mints ,"Chocolate, sweets  snacks"
3118,lisas hummus aubergine  cashew,"Chocolate, sweets  snacks"
3119,mother earth better bars muesli bars caramel,"Chocolate, sweets  snacks"
3120,mms sweets minis,"Chocolate, sweets  snacks"
3121,rjs licorice raspberry chocolate logs 3pk,"Chocolate, sweets  snacks"
3122,werthers original toffee butter cream candies,"Chocolate, sweets  snacks"
3123,mother earth soy mix lightly salted,"Chocolate, sweets  snacks"
3124,pascall mints imperial,"Chocolate, sweets  snacks"
3125,kiwigarden fruit snack apple and strawberry slices,"Chocolate, sweets  snacks"
3126,snackachangi potato chips bbq,"Chocolate, sweets  snacks"
3127,lindt chocolates lindor assorted,"Chocolate, sweets  snacks"
3128,"eat real vege chips hummus, quinoa, lentil","Chocolate, sweets  snacks"
3129,countdown popcorn original 200g,"Chocolate, sweets  snacks"
3130,weight watchers muesli bars macadamia  cranberry 136g,"Chocolate, sweets  snacks"
3131,lindt excellence chocolate block intense raspberry,"Chocolate, sweets  snacks"
3132,kiwigarden yoghurt drops  whole blueberries,"Chocolate, sweets  snacks"
3133,countdown chocolate almonds milk choc,"Chocolate, sweets  snacks"
3134,doritos corn chips burn  sour cream,"Chocolate, sweets  snacks"
3135,werthers original sweets eclairs,"Chocolate, sweets  snacks"
3136,proper crisps potato chips onion with green chives,"Chocolate, sweets  snacks"
3137,kinder surprise pink chocolate egg with toy,"Chocolate, sweets  snacks"
3138,countdown snack mix bhuja mild,"Chocolate, sweets  snacks"
3139,kit kat chunky chocolate bar cookie dough,"Chocolate, sweets  snacks"
3140,select fruit bars cereal apricot,"Chocolate, sweets  snacks"
3141,green  blacks chocolate block dark 85% cocoa,"Chocolate, sweets  snacks"
3142,countdown almonds tamari,"Chocolate, sweets  snacks"
3143,mother earth almonds natural,"Chocolate, sweets  snacks"
3144,macro snack mix raw nibble mix,"Chocolate, sweets  snacks"
3145,rjs licorice raspberry fresh,"Chocolate, sweets  snacks"
3146,countdown mixed nuts roasted salted,"Chocolate, sweets  snacks"
3147,tostitos tortilla chips smoked chipotle,"Chocolate, sweets  snacks"
3148,cadbury share pack buzz bar chocolates,"Chocolate, sweets  snacks"
3149,rjs sweets jaffas,"Chocolate, sweets  snacks"
3150,haribo sweets tangfastics,"Chocolate, sweets  snacks"
3151,weight watchers fruit filled bar apple  cinnamon crumble 240g,"Chocolate, sweets  snacks"
3152,countdown licorice allsorts,"Chocolate, sweets  snacks"
3153,the natural confectionery co jelly sweets smoothie orchard blast,"Chocolate, sweets  snacks"
3154,countdown cassava vegetable crisps thai sweet chilli,"Chocolate, sweets  snacks"
3155,cadbury frys chocolate bar turkish delight,"Chocolate, sweets  snacks"
3156,milky way share pack individually wrapped 216g,"Chocolate, sweets  snacks"
3157,rj's mackintosh's toffee deluxe 200g,"Chocolate, sweets  snacks"
3158,mediterranean dip chunky roasted capsicum,"Chocolate, sweets  snacks"
